Days,Open,High,Low,Close
16611,	467.08,	467.29,	462.46,	463.9
16610,	465.94,	467.42,	463.4,	467.06
16609,	466.92,	467.79,	465.02,	465.88
16608,	464.74,	468.07,	464.74,	466.91
16607,	463.03,	466.16,	462.41,	464.74
16606,	464.81,	464.83,	462.5,	463.01
16605,	464.4,	464.87,	457.49,	464.81
16604,	467.19,	467.43,	462.02,	464.44
16603,	466.07,	469.16,	466.07,	467.14
16602,	464.33,	466.48,	464.33,	466.07
16601,	470.65,	470.65,	464.26,	464.26
16600,	471.48,	472.41,	469.47,	470.69
16599,	467.69,	471.65,	467.58,	471.46
16598,	470.29,	471.09,	466.07,	467.69
16597,	472.79,	475.12,	468.44,	470.34
16596,	472.53,	474.16,	471.94,	472.79
16595,	470.23,	473.41,	470.23,	472.52
16594,	470.18,	471.99,	469.05,	470.23
16593,	468.93,	471.13,	466.89,	470.18
16592,	472.81,	473.13,	468.91,	468.93
16591,	471.05,	473.41,	471.05,	472.77
16590,	471.76,	472.33,	469.5,	471.05
16589,	469.81,	472.09,	467.57,	471.76
16588,	480.68,	481.02,	469.28,	469.81
16587,	481.96,	481.96,	478.71,	480.71
16586,	479.62,	482.23,	479.57,	482
16585,	481.6,	481.64,	479.18,	479.62
16584,	478.7,	482.85,	478.7,	481.61
16583,	477.05,	479.75,	477.05,	478.7
16582,	473.2,	477.52,	473.2,	477.05
16581,	470.92,	473.44,	470.72,	473.2
16580,	471.97,	472.56,	470.27,	470.92
16579,	474.72,	475.2,	471.49,	471.97
16578,	474.98,	475.56,	473.72,	474.72
16577,	474.3,	475,	473.42,	474.98
16576,	474.25,	474.7,	472.21,	474.3
16575,	473.3,	475.19,	473.29,	474.25
16574,	474.91,	474.91,	472.84,	473.3
16573,	472.5,	475.32,	472.5,	474.91
16572,	474.17,	474.17,	471.8,	472.47
16571,	474.13,	475.06,	472.14,	474.17
16570,	475.27,	475.28,	473.27,	474.13
16569,	469.9,	475.27,	469.55,	475.27
16568,	467.09,	470.26,	467.03,	469.9
16567,	467.55,	469,	467.02,	467.12
16566,	466.89,	467.82,	465.92,	467.55
16565,	465.44,	466.89,	464.44,	466.89
16564,	466.51,	466.94,	464.36,	465.44
16563,	468.66,	470.75,	466.45,	466.45
16562,	470.58,	470.58,	468.09,	468.64
